artist,year,track,album,tags,labelid,url,cluster,distance,bpm_essentia
Ron S.,2015.0,Riot Gear (Chainsmoker remix),Acts of Vision,acid house|detroit techno|electronic|techno|jacking techno|minimal techno|tracky techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/riot-gear-chainsmoker-remix,0,0.2227936769950546,133.93
Ron S.,2015.0,Riot Gear,Acts of Vision,acid house|detroit techno|electronic|techno|jacking techno|minimal techno|tracky techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/riot-gear,1,0.2438340404739867,128.06
Ron S.,2016.0,Ron S. - Astromech,Renegade Traxx,acid house|detroit techno|electronic|techno|minimal techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/astromech,0,0.1689834913992113,129.97
Ron S.,2018.0,Ron S. - Hyperloop,BlackJack EP,acid house|detroit techno|electronic|midwest techno|techno|minimal techno|techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/hyperloop,0,0.2080947006933177,129.92
Ron S.,2001.0,Subliminal Mind Control,Fundamentals Vol. 2,acid house|detroit techno|electronic|techno|minimal techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/subliminal-mind-control,1,0.2164764191860736,137.03
Ron S.,2015.0,Surreal Void (Brain Detergent remix),Dark Places EP,acid house|dark techno|detroit techno|electronic|techno|acid techno|minimal techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/surreal-void-brain-detergent-remix,0,0.1298035078210916,125.04
Ron S.,2015.0,Surreal Void,Dark Places EP,acid house|dark techno|detroit techno|electronic|techno|acid techno|minimal techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/surreal-void,0,0.2124136807378804,125.03
Rubidum,2016.0,Rubidium - Kitzflapper,Kitzflapper EP,acid house|detroit techno|electronic|techno|minimal techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/kitzflapper,1,0.1678757362079402,132.91
Rubidum,2016.0,Rubidium - LLAP,Kitzflapper EP,acid house|detroit techno|electronic|techno|minimal techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/llap,1,0.178435711891209,128.96
Rubidum,2016.0,Rubidium - They Are Watching Us,Kitzflapper EP,acid house|detroit techno|electronic|techno|minimal techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/they-are-watching-us,0,0.226581757612257,131.94
Shenlong,2018.0,Star Art,Cognitive Dissonance,acid house|detroit techno|electronic|techno|minimal techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/star-art,2,0.2102798279503188,132.99
Shenlong,2018.0,The Seed,Cognitive Dissonance,acid house|detroit techno|electronic|techno|minimal techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/the-seed,2,0.1556777391016978,135.06
Trovarsi,2019.0,Terminal (Ron S. remix),Terminal,acid house|detroit techno|electronic|los angeles techno|midwest techno|techno|underground techno|minimal techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/terminal-ron-s-remix,1,0.2178851843932382,130.99
VM,2018.0,VM - It Left Before You Arrived,Time Factor,acid house|detroit techno|electronic|techno|minimal techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/it-left-before-you-arrived,2,0.1854466431011641,132.01
Various,2017.0,Owen Ni - Crazy Horse,Series/Parallel,acid house|detroit techno|electronic|tech house|techno|dub techno|dubtechno|hardtechno|minimal techno|techhouse|St. Louis,8,https://anoderecords1.bandcamp.com/track/crazy-horse,1,0.1724205981858108,128.05
Various,2017.0,Second Encounter - T Track,Series/Parallel,acid house|detroit techno|electronic|tech house|techno|dub techno|dubtechno|hardtechno|minimal techno|techhouse|St. Louis,8,https://anoderecords1.bandcamp.com/track/t-track,0,0.2400818550289312,126.9
Various,2017.0,The Fallen - The Name,Series/Parallel,acid house|detroit techno|electronic|tech house|techno|dub techno|dubtechno|hardtechno|minimal techno|techhouse|St. Louis,8,https://anoderecords1.bandcamp.com/track/the-name,1,0.2089691908032759,128.04
SHXCXCHCXSH,2020.0,VOOO,VOOO EP,electronic|techno|Rotterdam,19,https://mord.bandcamp.com/track/vooo,1,0.2109797369535765,134.49
Various Artists,2008.0,Brain Detergent - Invasion of 2012,AR-010,acid house|detroit techno|electronic|techno|minimal techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/invasion-of-2012,1,0.154152488904185,132.77
Various Artists,2016.0,Konjecture - Dimensional Interference,Conductive Elements,acid house|detroit techno|electronic|techno|minimal techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/dimensional-interference,0,0.1791236690240788,125.95
Various Artists,2007.0,Kyle T. - Subversive,AR-009,acid house|detroit techno|electronic|techno|acid|electro|electronic|minimal techno|schranz|techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/subversive,1,0.154180101822439,137.02
Various Artists,2015.0,Lahr (IT) - C-1,Discrete Components EP,acid house|detroit techno|electronic|techno|minimal techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/c-1,0,0.2404917414848345,129.99
